Time elapsed was 346236ns or 0.000346236s,,0.000346236
Time elapsed was 185520ns or 0.000185520s,,0.00018552
Time elapsed was 100253ns or 0.000100253s,,0.000100253
Time elapsed was 200644ns or 0.000200644s,,0.000200644
Time elapsed was 221132ns or 0.000221132s,,0.000221132
Time elapsed was 184616ns or 0.000184616s,,0.000184616
Time elapsed was 183552ns or 0.000183552s,,0.000183552
Time elapsed was 209683ns or 0.000209683s,,0.000209683
Time elapsed was 189701ns or 0.000189701s,,0.000189701
Time elapsed was 187799ns or 0.000187799s,,0.000187799
,,
Mean Running Time,,0.000200914
